# Work, school, money, legal help, IDs, veterans, disability and seniors in the 71 places added on 2026-09-24
# (every city and township a DDOT or SMART bus reaches: 24 in Wayne, 32 in Oakland, 15 in Macomb). Batch `work-money-legal`.
# Categories: jobs.find, jobs.training, learn.school, learn.english, money.tax, money.benefits, legal, legal.immigration,
# ids, veterans, disability, seniors. (ids.mail: nothing found; see the end of this file.)
# Method: read on each organization's own site (or its own page on its city's, county's or the State's official site)
# on 2026-09-24, with a page reader that sends the same user agent as `pnpm check:sources` and extracts the page text the
# same way; WebFetch or a browser only where a site refuses scripts (those lines carry a `# BROWSER:` comment). Web search
# was used only to find sites, and ran out part way (session budget); after that, pages were found by following links
# from owners' home pages and reading their sitemaps. No fact comes from a search snippet or a directory.
# Every line (except the BROWSER ones) was checked the way check:sources will: the source_url page shows the phone
# (and phone2) and the street address. Rows with no phone show their house number and street on the source page.
# "Free" appears only where the owner's page says free / no cost. No staff names, no emails.
# Flags use `appointment_required` (docs/03), not `appointment`.
# Per-line notes for the steward are `# note:` lines directly above the line they concern.
# name | org | category | what | address | city | zip | phone | website | schedule | eligibility | source_url | extras

# ======== jobs ========
# Help finding a job (jobs.find) and free job training (jobs.training) in the 71 places added on 2026-09-24.
# Read on each organization's own site (or its own page on its county's site) on 2026-09-24, with the project's
# page reader (the same fetch pnpm check:sources uses) and, where a site refuses scripts, WebFetch. Web search was used
# only to find sites; no fact comes from a search snippet or a directory.
# Notes for the steward:
# - Oakland County Michigan Works! runs its centers through partners: Goodwill of Greater Detroit runs Pontiac and
#   Novi (goodwilldetroit.org), the Troy School District runs Troy, Gesher Human Services runs Waterford. The county's
#   own page (oaklandcountymi.gov/business/workforce-development/about) lists Novi, Oak Park, Pontiac, Troy and
#   Waterford, says the services are free, and lists "Tuition Assistance for Education/Training".
# - NOT listed on purpose: Oak Park (22180 Parklawn) — the county page says "*Closing September 25, 2026". Southfield
#   (21415 Civic Center Dr) closed June 30, 2026; the county says a new center for southern Oakland County "will open in
#   early Fall 2026". Add it when the county names the address.
# - SEMCA Michigan Works! (semcamiworks.org) refuses scripts (403). Its Wayne and Wyandotte centers are sourced from
#   the Downriver Community Conference's pages (dccwf.org), which operates them and which scripts can read. SEMCA's own
#   page (read with WebFetch) gives the Wyandotte center's phone as 734.362.3466; DCC's pages give 734-362-7070 and
#   say "please call 734-362-7070". We list DCC's number. SEMCA's Livonia and Southgate centers are gone (Southgate
#   moved to Wyandotte).
# - Macomb/St. Clair Michigan Works! centers print "Hours 8am - 5pm (Excluding Holidays)" with no days, so they arrive
#   call-first. The Port Huron center is outside the area.
# - Not repeated here because another file in this batch already has them: Chaldean Community Foundation job help,
#   Sterling Heights (part-learn.txt) and STEP Western Wayne job coaching, Westland (part-vd.txt).
Michigan Works! Novi service center | Oakland County Michigan Works! | jobs.find | Free help finding a job: computers, job search tools, workshops on resumes and interviews, job fairs and career coaching. Help with an unemployment claim. Some programs can help pay for training. | 31186 Beck Road | Novi | 48377 | (248) 926-1820 | https://www.oaklandcountymi.gov/business/workforce-development | Mon-Fri 8am-5pm | Open to everyone. Some programs have rules about who can join. For same-day help with an unemployment claim, come by 3:30pm. | https://www.goodwilldetroit.org/career-centers/michigan-works-novi/ |
Senior center, Birmingham (Next) | Birmingham Next | seniors | Classes, fitness, art, speakers and social time for people 50 and older. Its support services help with rides, meals and finding help, for members and non-members. | 2121 Midvale Street | Birmingham | 48009 | 248-203-5270 | https://birminghamnext.org/ | Mon-Thu 8:30am-7:30pm; Fri 8:30am-3pm | People 50 and older from Birmingham, Bingham Farms, Beverly Hills, Franklin and nearby areas. | https://birminghamnext.org/ | flags=seniors
Senior center, Bloomfield Township | Bloomfield Township Senior Services | seniors | Classes, fitness, trips and social time for people 50 and older, plus help to stay at home: meals delivered, rides to the doctor, minor home repair, daily friendly calls and loans of medical equipment. | 4315 Andover Rd. | Bloomfield Township | 48302 | 248-723-3500 | https://www.bloomfieldtwp.org/ | Mon-Fri 7am-3:30pm | Bloomfield Township residents 50 and older. Bring proof you live in the township. | https://www.bloomfieldtwp.org/seniors/ | flags=seniors
# note: Clawson rides cost $4 a round trip (free to the center itself); lunch is $4, Mon-Thu at noon, order by 9am.
Senior center, Clawson | City of Clawson Recreation & Senior Services | seniors | Senior center in the Hunter Community Center: lunch Monday to Thursday, rides, tech classes, free Medicare help (MMAP), help finding home care and services, and lawn and snow help for those who qualify. | 509 Fisher Ct | Clawson | 48017 | (248) 589-0334 | https://www.cityofclawson.com/ | Call first | Open to adults of all ages; most people are 50 and older. Rides are for Clawson residents 55 and older or with a disability. Lawn and snow help: residents 62 and older who meet income rules. | https://www.cityofclawson.com/your_government/parks_and_recreation/senior_programs.php | flags=seniors
# note: Commerce's page says the center closes when Walled Lake schools close for weather, and on most holidays.
Senior center, Commerce Township | Commerce Township Senior Center | seniors | Richardson Community Senior Center: lunch on weekdays, exercise and yoga, cards and games, art, computer help, Medicare talks, trips, and a legal hotline for seniors. | 1485 Oakley Park Road | Commerce Township | 48390 | 248-926-0063 | https://www.commercetwp.com/ | Mon-Fri 9am-4pm | Adults 50 and older. A guest may come with a senior. | https://www.commercetwp.com/departments/senior-center/ | flags=seniors
# note: the Costick Center serves Farmington and Farmington Hills both (the City of Farmington's senior page sends
#   people there), so it is one row. Farmington's own page gives the building number (248) 473-1800.
Senior center, Farmington and Farmington Hills (Costick Center) | City of Farmington Hills Adults 50 & Better | seniors | Activities, fitness, classes, trips and meals for adults 50 and older at the Costick Activities Center, plus rides, help with Medicare and Medicaid questions, emergency food help, minor home repair and a daily phone check-in for seniors who live alone. | 28600 Eleven Mile Rd. | Farmington Hills | 48336 | 248-473-1830 | https://www.fhgov.com/ | Mon-Fri 9am-4pm | Adults 50 and older. Outreach and home help are for Farmington and Farmington Hills residents 60 and older (or their caregivers). | https://www.fhgov.com/play-explore-learn/adults-50-better/ | flags=seniors
# note: Hazel Park rides cost $1.50 each way ($3 round trip), Mon-Thu 8:30am-3pm; the hours below are the office's.
Senior services, Hazel Park | City of Hazel Park Recreation Department | seniors | Programs and events for seniors at the Hazel Park Recreation Center, and low-cost rides Monday to Thursday. | 620 West Woodward Heights | Hazel Park | 48030 | (248) 547-5535 | https://www.hazelpark.org/ | Mon-Thu 9:30am-5pm | Rides are for Hazel Park residents 55 and older and people with a physical disability. | https://www.hazelpark.org/residents/senior_services.php | flags=seniors,disability
# note: Ferndale has no senior center building of its own. Its Senior Group (run with Ferndale Parks and Recreation)
#   meets at the Hazel Park Recreation Center on the 2nd and 4th Wednesday at 11am; membership is $15 a year. The phone
#   is Ferndale Parks and Recreation, extension 503.
Ferndale Senior Group | Ferndale Parks and Recreation | seniors | A social club for people 55 and older from Ferndale and nearby: meetings, activities, trips and a newsletter. The city page also explains home repair and snow and lawn help for Ferndale seniors who qualify. | 620 W Woodward Heights Blvd | Hazel Park | 48030 | 248-544-6767 | https://www.ferndalemi.gov/ | 2nd and 4th Wednesday of the month, 11am | People 55 and older. Membership is $15 a year for residents and non-residents. | https://ferndalemi.gov/resources/senior-programs | flags=seniors; phone_label=Ferndale Parks and Recreation (ext. 503)
# note: Huntington Woods senior services run from the Gillham Recreation Center. The source page is the HARP (home
#   repair) page because it is the one senior page that prints the Recreation Center's street address; the other
#   services are on https://www.hwmi.org/departments/parks_and_recreation/senior_services/index.php. Van rides are $1
#   each way (book 48 hours ahead, 9am-noon weekdays); Monday lunch is $5.
Senior services, Huntington Woods (HW Cares) | City of Huntington Woods | seniors | Help for older residents from the Recreation Center: check-in calls, grocery delivery help, van rides, a Monday lunch, blood pressure checks, and free volunteer labor for minor home repairs (you pay for materials). | 26325 Scotia Road | Huntington Woods | 48070 | 248-581-2712 | https://www.hwmi.org/ | Call first | Huntington Woods residents. Rides: 55 and older, or adults with a disability. Home repair: homeowners 60 and older, people with disabilities, or families of active-duty service members. | https://www.hwmi.org/departments/parks_and_recreation/senior_services/harp_program.php | flags=seniors
# note: Madison Heights AAC rides cost $2 round trip in the city, $4 outside it (up to 7 miles). No weekly hours printed.
Senior center, Madison Heights (Active Adult Center) | City of Madison Heights Recreation & Active Adult Center | seniors | Active Adult Center for people 50 and older: rides, yard service, loans of medical equipment, a Focus: HOPE room, computer lab, exercise room, games, bingo, a grief support group and an indoor walking path. | 260 W 13 Mile Rd | Madison Heights | 48071 | 248-545-3464 | https://www.madisonheightsmi.gov/ | Call first | Adults 50 and older. Rides are for residents 50 and older or with a disability who have no other way to get there. | https://www.madisonheightsmi.gov/2107/Our-Services | flags=seniors
# note: Novi's Older Adult Services office is in the Novi Civic Center; activities also run at the Meadowbrook Activity
#   Center, 25075 Meadowbrook Rd. Some games charge a small fee at the door.
Older adult services, Novi | City of Novi Older Adult Services | seniors | Activities, fitness, classes, games, rides, lunch, Meals on Wheels, support groups and loans of medical equipment for adults 55 and older. | 45175 Ten Mile Road | Novi | 48375 | 248-347-0414 | https://cityofnovi.org/ | Mon-Fri 8am-5pm | Adults 55 and older. | https://cityofnovi.org/oas/about-us/ | flags=seniors
# note: Oak Park hours as printed: Mon-Fri 9am-5pm, closed 1-2pm for lunch, and every other Friday 8am-4pm; kept as
#   Call first because of the alternating Fridays. 50 Up Club membership is $6 a year for residents, $12 for others.
Senior programs, Oak Park (50 Up Club) | City of Oak Park Recreation | seniors | The 50 Up Club at the Community Center: weekly drop-in games, bingo, art, quilting, chess and exercise for people 50 and older. Meals on Wheels is also available in Oak Park. | 14300 Oak Park Blvd | Oak Park |  | (248) 691-7555 | https://www.oakparkmi.gov/ | Call first | People 50 and older who join the 50 Up Club ($6 a year for Oak Park residents, $12 for others). | https://www.oakparkmi.gov/senior-programs | flags=seniors
# note: Orion's mailing city is "Lake Orion"; the owner is Orion Township Parks & Recreation (Orion Recreation Center).
Active Aging (50+), Orion Township | Orion Township Parks & Recreation | seniors | Free 50+ membership with clubs, bingo, cards, movies, quilting and mahjong at no cost, plus classes, exercise, lunches and trips that cost a fee. | 3800 S. Baldwin Rd | Orion Township | 48359 | 248-391-0304 | https://www.orionparks.com/ | Call first | Adults 50 and older, from Orion or anywhere else. Sign up first; you get a key fob. | https://www.orionparks.com/senior_services/index.php | flags=seniors; phone_label=Parks & Recreation (ext. 3500)
Robert Bowens Senior Center, Pontiac | City of Pontiac Parks and Recreation | seniors | A city senior center with activities every day to stay healthy and active, and a caregiver support group. Drop in on weekdays. | 52 Bagley St. | Pontiac | 48342 | (248) 758-3240 | https://www.pontiac.mi.us/ | Mon-Fri 9am-5pm | Pontiac seniors. Call to ask about age and membership. | https://www.pontiac.mi.us/departments/recreation/senior_centers.php | flags=seniors,walk_in
Ruth Peterson Senior Center, Pontiac | City of Pontiac Parks and Recreation | seniors | A city senior center (the Ruth Peterson Community Center) with activities every day to stay healthy and active. Drop in on weekdays. | 990 Joslyn Rd. | Pontiac |  | (248) 758-3277 | https://www.pontiac.mi.us/ | Mon-Fri 9am-5pm | Pontiac seniors. Call to ask about age and membership. | https://www.pontiac.mi.us/departments/recreation/senior_centers.php | flags=seniors,walk_in
# note: OPC Social & Activity Center (Older Persons' Commission) is run jointly by Rochester, Rochester Hills and
#   Oakland Township, so it is one row for all three. Its own site (opcseniorcenter.org, now opccenter.org) sits behind
#   a Sucuri bot wall that refuses scripts AND WebFetch, so the source is the City of Rochester's own OPC page, which
#   prints the address and phone (Rochester Hills' commission page shows the same 650 Letica Drive and 248-656-1403).
#   Neither city page prints an age rule or hours, so eligibility says "call" and schedule is Call first.
OPC Social & Activity Center, Rochester | Older Persons' Commission (OPC) | seniors | Senior center for the Rochester area: rides, meals delivered at home, meals in the OPC cafeteria, adult day care, help for people with low income, senior advocacy, health and wellness programs, a library and events. | 650 Letica Drive | Rochester | 48307 | (248) 656-1403 | https://opccenter.org/ | Call first | Older adults in Rochester, Rochester Hills and Oakland Township. Call to ask about age and membership. | https://www.rochestermi.org/96/Older-Persons-Commission | flags=seniors
# note: Royal Oak's senior center is the Mahany/Meininger Senior Community Center (not the Salter Community Center).
#   Its ROSES home-help program (chores, minor repair, personal care, sliding hourly rate) is for residents 62+ who
#   qualify; ROSES line (248) 246-3919 is on https://www.romi.gov/387/Royal-Oak-Senior-Essential-Services-ROSE.
Senior center, Royal Oak (Mahany/Meininger) | City of Royal Oak Senior Community Center | seniors | Classes, fitness center, games, hobbies and lunch-and-learns for people 50 and older, weekday meals, rides, legal consultations, grief and aphasia groups, and home help (ROSES). Free Wi-Fi. Many activities are free or low cost. | 3500 Marais Avenue | Royal Oak | 48073 | 248-246-3900 | https://www.romi.gov/ | Mon-Fri 9am-4:30pm | Adults 50 and older. Support services and rides are for residents 60 and older or with a permanent disability. | https://www.romi.gov/356/Senior-Community-Center | flags=seniors
# note: Waterford's lunch asks $3 for people 60+ and $5 for younger guests. A new Waterford community center is being
#   built (opening 2028, 7354 Cooley Lake Road); senior services are at the Leggett Campus until then.
Lifelong Recreation and senior services, Waterford | Waterford Township Parks & Recreation | seniors | Programs for people 50 and older at the Leggett Campus: weekday lunch at noon, Meals on Wheels with a daily visit for homebound seniors, adult day services and trips. | 3621 Pontiac Lake Road | Waterford Township | 48328 | 248-682-9450 | https://www.waterfordmi.gov/ | Mon-Fri 8am-4pm | People 50 and older. Meals on Wheels: 60 and older and homebound. | https://www.waterfordmi.gov/227/Lifelong-Recreation | flags=seniors
# note: Southfield Senior Services answers the phone Mon-Thu 9am-4pm and Fri 9am-2pm; its "Services for Seniors" page
#   says the office "remains closed to the public", so the schedule is the phone hours and walk-in is not claimed.
#   TOSS van rides ($5 round trip, $4 with a ticket bought ahead; line 248-796-4658) also serve Lathrup Village residents.
Senior services, Southfield | City of Southfield Senior Services | seniors | Classes, exercise, sports, trips and events for adults 50 and older; TOSS van rides; home chore help (you pay only for materials); and Medicare and Medicaid questions answered. | 26000 Evergreen Road | Southfield | 48076 | (248) 796-4650 | https://www.cityofsouthfield.com/ | Mon-Thu 9am-4pm; Fri 9am-2pm | Adults 50 and older, residents or not. TOSS rides: Southfield and Lathrup Village residents 60 and older, or with a permanent physical disability. | https://www.cityofsouthfield.com/residents/seniors/services-seniors | flags=seniors; phone_label=Senior Services (phone hours)
# note: Troy's hot lunch (Mon-Fri 11:45am-12:30pm) asks $4 for people 60+ and $7 for younger guests.
Senior center, Troy (Troy Community Center) | City of Troy Recreation (Fifty Forward) | seniors | Senior Center inside the Troy Community Center: hot lunch on weekdays, free coffee, bingo, classes, concerts, events and help finding resources for people 50 and older. | 3179 Livernois | Troy | 48083 | 248.524.3484 | https://rec.troymi.gov/ | Mon-Fri 8am-4pm | People 50 and older; adults of any age may sign up for most programs. | https://rec.troymi.gov/programs___events/senior_programs/index.php | flags=seniors
# note: Wixom's page gives the center's hours, address and phone and a calendar of activities, but no age rule and no
#   list of services; rides are through People's Express, (877) 214-6073. Eligibility is kept to what the page supports.
Senior center, Wixom | City of Wixom Senior Center | seniors | A city senior center with a monthly calendar of activities and a newsletter. Sign up for activities online or by phone. Rides are through People's Express. | 49045 Pontiac Trail | Wixom | 48393 | 248-624-0870 | https://www.wixomgov.org/ | Mon-Thu 9am-3pm | Seniors. Call to ask who can join. | https://www.wixomgov.org/departments/senior-center | flags=seniors
# note: West Bloomfield Parks (a park commission, not the township) runs Connect. The page prints "Hours 8am-4:30pm"
#   without naming the days, so the schedule is Call first. Drop-in programs are $2 each unless you buy a membership.
Connect Senior Center, West Bloomfield | West Bloomfield Parks | seniors | A senior gathering place: a lounge with coffee, a game room, line dance, ping pong, stretch classes, bingo, events and a guide to local senior help. You do not need a membership. | 33230 W 14 Mile Rd. | West Bloomfield Township | 48322 | 248.451.1900 | https://wbparks.org/ | Call first | Seniors. Drop-in programs usually cost $2; free for members. | https://wbparks.org/parks-facilities/connect-senior-center/ | flags=seniors
# note: White Lake's page names Mon-Thu with "Class/Activity Hours 8:15am-5:00pm"; rides are through WOTA (Western
#   Oakland Transportation Authority), 248-887-4979. No age rule is printed on the page.
# BROWSER: Dublin Community Senior Center, White Lake Township — site refuses scripts (www.whitelaketwp.com drops the
#   script's connection; read with WebFetch 2026-09-24: "685 Union Lake Road", "Phone: 248-698-2394")
Dublin Community Senior Center, White Lake Township | White Lake Township | seniors | The township senior center: fitness classes, games, activities, trips and tours, volunteer work and support services. Rides are through WOTA. | 685 Union Lake Road | White Lake Township | 48383 | 248-698-2394 | https://www.whitelaketwp.com/ | Mon-Thu 8:15am-5pm | Seniors. Call to ask who can join. | https://www.whitelaketwp.com/senior-center | flags=seniors
# note: Berkley's old domain berkleymich.org has an expired certificate; the city's site is now berkleymi.gov. Senior
#   fitness is $3 drop-in; the Wednesday Senior Hangout is free. Mon-Fri 8:30am-5pm are the office hours.
Senior center, Berkley | City of Berkley Parks & Recreation | seniors | Senior Center in the Community Center: bingo, trivia, fitness classes, a free Wednesday hangout, day trips and monthly lunches, plus van rides, home chore help and loans of medical equipment. | 2400 Robina | Berkley | 48072 | 248-658-3470 | https://www.berkleymi.gov/ | Mon-Fri 8:30am-5pm | All seniors are welcome; you do not have to live in Berkley for trips and programs. | https://www.berkleymi.gov/Government/City%20Departments/Parks%20-%20Recreation/Senior%20Information | flags=seniors
# note: Pearl Wright Senior Center is run by the Charter Township of Royal Oak. The page's contact block gives Room 209
#   and Mon-Thu 9am-3pm; the only street address on the page is the township's own, "21131 Gardenlane - 2nd Floor,
#   Grant School", mailing city Ferndale (the township's offices are inside the township). A steward may want to confirm
#   the center is in that building. Membership $7 a year for residents, $9 for others; Fannie Adams bus rides $5 each
#   way for 55+ (buy tickets in Room 209; call two working days ahead).
Pearl Wright Senior Center, Royal Oak Township | Charter Township of Royal Oak | seniors | Senior center with bingo, bowling, health talks, crafts, movie days, day trips, a Focus: HOPE food program and bus rides (Fannie Adams Transportation). | 21131 Gardenlane | Royal Oak Township | 48220 | 248-547-9803 | https://royaloaktwp.com/ | Mon-Thu 9am-3pm | Seniors; residents and non-residents may join ($7 a year for residents, $9 for others). Rides: seniors 55 and older pay $5 each way. | https://royaloaktwp.com/index.php/community/pearl-wright-senior-center | flags=seniors

# ======== sen-mac ========
# --- seniors: Macomb County (read by the batch lead) ---
# note: Macomb County's "Dining Senior Style" page (https://www.macombgov.org/departments/senior-services/services-seniors/dining-senior-style)
#   lists about 20 senior lunch sites with street addresses (Mon-Fri, 11:30am, $3 suggested donation, 60+, Macomb residents).
#   Those are food.meal rows with flags=seniors, outside this batch: a lead for the food batch.
# note: no row for Warren (the city's site links only to senior housing and a RecTrac registration app), Center Line (its
#   "Seniors" page is Warren Parks & Rec's ride service), Fraser, New Baltimore, Mount Clemens or Utica (Utica residents join
#   Shelby Township's center at the resident rate). Eastpointe and Roseville share the RARE senior center.
Macomb County Office of Senior Services | Macomb County | seniors | The county's office for people 60 and older and their caregivers: senior lunches, Meals on Wheels, a friendly caller, help with benefits, a loan closet for medical equipment, and adult day care. | 21885 Dunham Road, Suite 6 | Clinton Township | 48036 | 586-469-5228 | https://www.macombgov.org/departments/senior-services | Mon-Fri 9am-4pm | People 60 and older who live in Macomb County, and their caregivers. Enter the building at door C. | https://www.macombgov.org/departments/senior-services | flags=seniors
Senior center, Clinton Township | Clinton Township | seniors | The Senior Adult Life Center: activities, classes, a fitness center and ride information for adults 55 and older. Membership has a fee. | 40730 Romeo Plank Road | Clinton Township | 48038 | 586-286-9333 | https://www.clintontownship.com | Call first | Adults 55 and older, with proof of age and where you live. Residents pay $75 once; others pay $75 a year. Closed when Chippewa Valley schools close for weather. | https://www.clintontownship.com/294/Membership-Information | flags=seniors
Senior center, Shelby Township | Shelby Township | seniors | Activities, fitness, rides, and a free loan closet for medical equipment, for adults 50 and older. The senior bus goes to medical visits nearby for 50 cents each way. | 14975 21 Mile Road | Shelby Township | | 586-739-7540 | https://www.shelbytwp.org | Call first | Adults 50 and older. Yearly membership: $5 for Shelby Township and Utica residents, $10 for others. | https://www.shelbytwp.org/government/departments/parks-and-recreation/parks-and-facilities/shelby-township-senior-center | flags=seniors
Senior center for Roseville and Eastpointe | Recreation Authority of Roseville & Eastpointe | seniors | Activities, exercise classes, trips, games, a computer room, blood pressure checks, and senior lunches, for adults 50 and older. | 18185 Sycamore | Roseville | 48066 | (586) 777-7177 | https://rare-mi.org/ | Call first | Adults 50 and older who live in Roseville or Eastpointe. | https://rare-mi.org/programs_events/seniors/index.php | flags=seniors; phone_label=Senior Activities Office
Senior center, Chesterfield Township | Chesterfield Township | seniors | A place for adults 55 and older to meet people, take classes, join activities and find help. | 47275 Sugarbush Road | Chesterfield Township | 48047 | 586-949-0400 | https://www.chesterfieldtwp.org | Call first | Adults 55 and older. | https://www.chesterfieldtwp.org/546/Senior-Services | flags=seniors; phone_label=Chesterfield Township
Tucker Senior Center, Harrison Township | Harrison Township | seniors | Activities, exercise classes, trips, rides (Dial-A-Ride) and Meals on Wheels for adults 55 and older. | 26980 Ballard Street | Harrison Township | 48045 | 586-466-1497 | https://www.harrisontownshipmi.gov | Mon-Fri 8:30am-4:30pm | Adults 55 and older. Closed on township holidays, and when L'Anse Creuse schools close for bad weather. | https://www.harrisontownshipmi.gov/residents/senior_center/index.php | flags=seniors
Senior center, Sterling Heights | City of Sterling Heights | seniors | Activities, fitness, a walking track, trips, and lunch Monday to Friday at 11:30am for adults 50 and older. Many programs are free. Lunch is a $3 suggested donation for people 60 and older. | 40200 Utica Rd. | Sterling Heights | 48313 | 586-446-2750 | https://www.sterlingheights.gov | Mon-Thu 9am-9pm; Fri-Sat 9am-5pm | Anyone 50 and older. You do not have to live in Sterling Heights. | https://www.sterlingheights.gov/2180/Senior-Center | flags=seniors
Senior Activity Center, St. Clair Shores | City of St. Clair Shores | seniors | Activities, classes, a fitness center, blood pressure checks, and lunch Monday to Friday at 11:30am (sign up a week ahead) for adults 50 and older. | 20000 Stephens St. | St. Clair Shores | 48080 | 586-445-0996 | https://www.scsmi.net | Office: Mon-Fri 9am-3:30pm. Call first. | Adults 50 and older. Yearly membership: $25 for residents, $40 for others. Lunch does not need a membership. | https://www.scsmi.net/673/Senior-Center-for-Active-Adults | flags=seniors
Senior center, Macomb Township | Macomb Township | seniors | Senior programs, trips and rides in Macomb Township. | 51210 Alma Drive | Macomb Township | 48042 | 586-992-2900 | https://www.macomb-mi.gov | Call first | Older adults. Call to ask who can join. | https://www.macomb-mi.gov/593/Senior-Center | flags=seniors

# ======== sen-wayne ========
# --- seniors: Wayne County, the 24 new places (senior centers) ---
# Researched 2026-09-24. Every fact read on the owner's own page (the city's own site, or the center's own site when it
# is a nonprofit) with the project's page reader (rd.mts, the same user agent as check:sources); no search engine was
# used (links followed from each city's home page and its sitemap.xml). "Free" is written only where the page says so.
# One site refused scripts (Melvindale, 403): read with WebFetch, marked BROWSER below.
# note: The Senior Alliance (Area Agency on Aging 1-C) is NOT listed here: its contact page gives 3200 Greenfield Rd.,
#   Suite 100, Dearborn (already-covered area, not one of the 71). Livonia's senior page still prints its old address
#   (5454 Venoy Road, Wayne); a steward may want to add or update The Senior Alliance's main line under Dearborn.
# note: Services for Older Citizens (SOC) in the Grosse Pointes is now The Helm (helmlife.org; socservices.org redirects
#   there). One row covers the five Grosse Pointes and Harper Woods.
# note: No row for Lincoln Park (its Seniors page gives club times and a phone but no street address for the center),
#   Trenton (its Senior Programs page is images only), River Rouge (city site did not answer), or the City of Wayne
#   (no center of its own: its page says Wayne pays back the membership fee at Westland's Friendship Center or the
#   Mary Browe Senior Center, 36745 Marquette, Westland, 734-419-2020 — the latter found only on Wayne's page, a lead).
# note: Taylor's page has two sets of hours: the Senior Services page and the FAQ say Mon-Fri 8am-3pm, the contact box
#   on the Activities page says 8am-4pm. The line uses 8am-3pm (two statements agree).
Senior center, Southgate | City of Southgate | seniors | Programs, activities, trips and services for adults 55 and older. There is a monthly members' meeting on Thursdays at noon. | 14700 Reaume Parkway | Southgate | 48195 | 734-258-3066 | https://www.southgatemi.gov | Mon-Thu 9am-3pm | Adults 55 and older. | https://www.southgatemi.gov/departments/senior_center/index.php | flags=seniors
# note: Livonia is building a new Senior Wellness Center next to the Kirksey Recreation Center (15100 Hubbard); the
#   Senior Center page's contact box still gives 32001 Five Mile Road. Recheck the address when the new center opens.
Senior Wellness Center, Livonia | City of Livonia | seniors | Classes, games, exercise, trips, a computer center, a loan closet for medical equipment, and help with Medicare, housing, legal and tax questions. Hot lunch Monday to Thursday at 11:45am for people 60 and older; call a day ahead. | 32001 Five Mile Road | Livonia | 48154 | (734) 466-2555 | https://www.livonia.gov | Mon-Fri 8:30am-4:45pm | Older adults. Lunch is for people 60 and older, with a suggested donation. | https://www.livonia.gov/321/Senior-Center | flags=seniors
Friendship Center (senior center), Westland | City of Westland | seniors | Lunch every weekday at 11:30am (call the day before), Meals on Wheels, a fitness room, a computer lab, classes, trips, help with Medicare and Medicaid, and a lawyer who visits once a month, for adults 50 and older. | 1119 N Newburgh Road | Westland | 48185 | 734-722-7628 | https://www.cityofwestland.com | Mon, Wed, Fri 9am-5pm; Tue, Thu 9am-7pm; Sat 9am-12pm | Adults 50 and older. Membership is $15 a year; the exercise room is $25 more. People who live outside Westland can join for the same fee. City of Wayne residents can get the fee paid back by the City of Wayne. | https://www.cityofwestland.com/333/Senior-Resources | flags=seniors
Ford Senior Activity Center, Taylor | City of Taylor | seniors | Activities, classes, a fitness room, a computer room with free internet, lunch Monday to Thursday, rides to the center and to stores, and a free loan closet for medical equipment for Taylor residents. Rides to Taylor doctors cost $2. | 6750 Troy Street | Taylor | 48180 | 313-291-7740 | https://www.cityoftaylor.com | Mon-Fri 8am-3pm | Anyone 50 and older. There is no fee to join. For lunch, call before 10:30am at least a day ahead. | https://www.cityoftaylor.com/FAQ.aspx?TID=22 | flags=seniors
Copeland Senior Center, Wyandotte | City of Wyandotte | seniors | Social days, card games, bingo, trips, and lunch Monday to Thursday at 11:15am ($3 suggested donation). Weekday bus and van rides in Wyandotte and Southgate cost $1.50 each way. | 2306 4th Street | Wyandotte | 48192 | 734-324-7275 | https://www.wyandottemi.gov | Call first | Older adults. Rides are for Wyandotte seniors 55 and older and people with disabilities; call 734-324-4522 a day ahead. For lunch, call 734-324-7279 a day ahead. | https://www.wyandottemi.gov/322/Copeland-Center-Senior-Events | flags=seniors
Senior center, Garden City | City of Garden City | seniors | The senior center at the Radcliff Center: games, bingo, fitness classes, trips, and help with food: Focus: HOPE boxes for people 60 and older and monthly USDA food. | 1751 Radcliff St. | Garden City | 48135 | 734-793-1850 | https://www.gardencitymi.org | Call first | Most activities are for adults 50 and older. Food help has income limits. | https://www.gardencitymi.org/240/Senior-Center | flags=seniors
Senior center, Romulus | City of Romulus | seniors | Daily hot lunch at the center, Meals on Wheels, free rides to medical and personal visits, weekly shopping trips, free blood pressure checks, free visits with a foot doctor and lawyers each month, Medicare help, a loan closet for medical equipment, and activities. | 36525 Bibbins | Romulus | 48174 | 734-955-4120 | https://www.romulusgov.com | Mon-Fri 8am-4pm | Older adults. Call to ask who can join. | https://www.romulusgov.com/434/Senior-Services | flags=seniors
Senior programs, Redford Township | Charter Township of Redford | seniors | Trips, classes, exercise, card games, blood pressure checks, tax help, Medicare and Medicaid help, Meals on Wheels, and hot lunch at the Redford Community Center. The Redford Connector bus gives rides Mon-Fri 8am-3pm for $2. | 12121 Hemingway | Redford Township | 48239 | 313-387-2784 | https://www.redfordtwp.gov | Mon-Fri 8:30am-4:30pm | Older adults. The senior club is for Redford residents 55 and older ($15 a year). The loan closet is for Redford residents only. For lunch, call 313-387-2778 by 11am the day before. | https://www.redfordtwp.gov/191/Seniors | flags=seniors; phone_label=Senior programs; phone2=313-387-2778; phone2_label=Lunch and Meals on Wheels
# note: Inkster's Senior Services page (https://www.cityofinkstermi.gov/259/Senior-Services) gives the Senior Resource
#   Center "at the Dozier", its hours and the senior phone (313-561-2382) but no street address; the Parks & Recreation
