# Kids, goods and community help in the 71 new places (area widened 2026-09-24, DECISIONS).
# Categories: kids.care, kids.prek, youth, youth.advocacy, rec.center, connect, transport, pets, goods.clothes, goods.baby,
#   goods.home, goods.personal, assault. rec.library comes from the federal-library batch.
# Method: each fact read on the organization's own site (or its city/county's official page) with the pipeline's own
#   honest user agent or WebFetch on 2026-09-24; web search used only to find sites. Every line was run through the
#   importer's parser and the check:sources matcher by the researcher; # BROWSER lines are sites that refuse scripts.
# Combined by the lead from six researched parts. Per-line steward notes stay directly above their lines.

# ---- part: part-connect-transport-pets.txt ----
# NOTE: Hours printed twice on the page: the new hours (from July 13, 2026) close Sundays and Mondays; an older paragraph lower down still says "open Monday". We use the new hours. Free rabies shot is with the purchase of a dog license, Fridays 9am-noon.
Oakland County Animal Shelter | Oakland County Animal Shelter and Pet Adoption Center | pets | The county animal shelter: look for a lost pet, adopt a dog or cat, and buy a dog license. Free rabies shot for your dog when you buy its license, Fridays 9am to noon. Ask about help with end-of-life care for a pet. | 1200 North Telegraph Road, Building 42E | Pontiac | 48341 | 248-858-1070 | https://www.oakgov.com/community/pet-adoption | Tue 10am-7pm; Wed 10am-5pm; Thu 10am-7pm; Fri 10am-5pm; Sat 10am-4pm | | https://www.oakgov.com/community/pet-adoption | phone_label=Pet Adoption Center; phone2=248-858-1090; phone2_label=Animal Control
Taylor Recreation Center | City of Taylor Parks and Recreation | rec.center | City fitness center with a weight room, cardio room, spin and HIIT rooms, batting cages, and classes for kids and adults. | 22805 Goddard | Taylor | 48180 | (734) 374-8900 | https://www.cityoftaylor.com/1462/Recreation | Mon-Fri 6:15am-9pm; Sat 8am-2pm; Sun 8am-noon | You need a membership or a day pass. Call to ask about prices. | https://www.cityoftaylor.com/353/Taylor-Recreation-Center
Lincoln Park Community Center | City of Lincoln Park Parks and Recreation | rec.center | City community center with an ice arena and classes like learn to skate, dance, karate, and fitness. | 3525 Dix Highway | Lincoln Park | 48146 | 313-386-4075 | https://www.citylp.com/396/Services-Programs | Call first. Office open Mon-Fri 8am-4pm; skate times change. | Classes and skating have fees. Call to ask. | https://www.citylp.com/365/Lincoln-Park-Community-Center | phone2=313-386-3100; phone2_label=Additional number
Booker T. Dozier Recreation Center, Inkster | City of Inkster Parks and Recreation | rec.center | City recreation center with a gym, weight room, racquetball courts, game room, and an outdoor pool. | 2025 Middlebelt Rd. | Inkster | 48141 | 734-728-7530 | https://www.cityofinkstermi.gov/223/Parks-Recreation | Call first | Call the front desk to ask about fees and open gym times. | https://www.cityofinkstermi.gov/facilities/facility/details/Booker-T-Dozier-Recreation-Center-16
Allen Park Community Center | City of Allen Park Parks and Recreation | rec.center | City community center with a gym, ice rink, fitness center with a walking track, and rooms to rent. | 15800 White Street | Allen Park | 48101 | 313-928-0771 | https://cityofallenpark.org/departments/parks_recreation/index.php | Call first | The fitness center needs a membership or day pass and is for ages 14 and up. | https://cityofallenpark.org/departments/parks_recreation/index.php
# NOTE: the page gives 14701 Beech Daly as the Leisure Services address beside the new center's building hours; the Township's own facility list names 14701 Beech Daly as Western-Graham Park, where the center stands.
Redford Recreation and Wellness Center | Charter Township of Redford Leisure Services | rec.center | New township recreation center with a gym, walking track, fitness room, saunas, indoor playground, and splash pad. | 14701 Beech Daly | Redford Township | 48239 | 313-387-2650 | https://www.redfordtwp.gov/188/Leisure-Services | Mon-Fri 6am-10pm; Sat 8am-7pm; Sun 8am-5pm | You need a membership or a day pass. Veterans and people in the military get a discount. Silver Sneakers is accepted. | https://www.redfordtwp.gov/355/New-Recreation-Wellness-Center
Redford Community Center | Charter Township of Redford Leisure Services | rec.center | Township community center with classes and activities, senior services, a walking track, playground, and splash pad. | 12121 Hemingway | Redford Township | 48239 | 313-387-2650 | https://www.redfordtwp.gov/188/Leisure-Services | Mon-Fri 8:30am-4:30pm | Some classes have fees. Call to ask. | https://www.redfordtwp.gov/Facilities/Facility/Details/Redford-Community-Center-30
Radcliff Center, Garden City | City of Garden City Parks and Recreation | rec.center | City recreation center with a gym, fitness room, game room, gaming room, and classes for all ages. It has after-school tutoring on weekdays and open gym for kids. | 1751 Radcliff St. | Garden City | 48135 | 734-793-1850 | https://www.gardencitymi.org/150/Maplewood-Community-Center | Mon-Thu 8:30am-8:30pm; Fri-Sat 9am-1pm | Open gym is $3 for residents and $6 for others. Other classes have fees. | https://www.gardencitymi.org/196/Radcliff-Center
Richard A. Young Recreation Center, Dearborn Heights | City of Dearborn Heights Parks and Recreation | rec.center | City recreation center with classes like karate, senior yoga, and drop-in volleyball. | 5400 McKinley | Dearborn Heights | 48125 | 313-277-7080 | https://www.dearbornheightsmi.gov/308/Parks-Recreation | Mon-Thu 8am-9:30pm; Fri 8am-7:30pm; Sat-Sun 8:30am-4:30pm | Classes have fees. Call to ask. | https://www.dearbornheightsmi.gov/325/Richard-A-Young-Recreation-Center
HYPE Recreation Center, Dearborn Heights | HYPE Athletics | rec.center | Recreation center with five basketball courts, an indoor track, a gym, fitness classes, and sports for kids like basketball, boxing, and martial arts. | 23302 W. Warren Ave. | Dearborn Heights | 48127 | (313) 436-0043 | https://hypeathletics.org/ | Call first | You need a membership. Group fitness classes and child care are free for members. | https://hypeathletics.org/dearborn-heights/ | flags=youth
HYPE Recreation Center, Wayne | HYPE Athletics | rec.center | Recreation center with fitness classes and sports for kids like basketball and martial arts. | 4635 Howe Rd. | Wayne | 48184 | (734) 721-7400 | https://hypeathletics.org/ | Call first | You need a membership. Group fitness classes and child care are free for members. | https://hypeathletics.org/wayne/ | flags=youth
Romulus Athletic Center | Romulus Athletic Center | rec.center | Fitness and pool center with open swim, open gym, and fitness and pool classes. | 35765 Northline Road | Romulus | 48174 | 734.942.2223 | https://www.romulusathleticcenter.com/ | Mon-Fri 5am-9pm; Sat 7am-9pm; Sun 8am-7pm | You need a membership or a day pass ($10 for Romulus residents with ID, $15 for others). Kids under 18 must come with a paying adult. | https://www.romulusathleticcenter.com/
The War Memorial, Grosse Pointe | Grosse Pointe War Memorial | rec.center | Community center on the lake with classes, youth programs, driver's education, and events. Private events can close parts of the building, so call ahead. | 32 Lake Shore Drive | Grosse Pointe Farms | 48236 | 313.881.7511 | https://www.warmemorial.org/ | Mon-Thu 8am-8pm; Fri-Sun 8am-4pm | Everyone is welcome. You do not need to live in Grosse Pointe or be a member. | https://www.warmemorial.org/contact
# NOTE: the club's own site (neighborhoodclub.org) shows no text to a script or to WebFetch; this row comes from the City of Grosse Pointe Farms page about the club. A person should confirm on the club's own site.
Grosse Pointe Neighborhood Club | Grosse Pointe Neighborhood Club | rec.center | Community center with activities and programs for families and friends. | 17150 Waterloo St | Grosse Pointe | 48230 | (313) 885-4600 | https://www.neighborhoodclub.org/ | Call first | Call to ask about programs and fees. | https://www.grossepointefarms.org/residents/sports_and_community_centers/neighborhood_club.php
# NOTE: the page calls 20221 Beaconsfield the Parks and Recreation office; it does not say whether the community center (pool, dome) is at the same address. A person should confirm before this shows as a place to go.
Harper Woods Parks and Recreation | City of Harper Woods | rec.center | City recreation office. It runs classes like Zumba and water Zumba, special events, and picnic reservations. | 20221 Beaconsfield St. | Harper Woods | 48225 | 313-343-2560 | https://harperwoodscity.org/ | Mon-Fri 8am-4:30pm | Classes have fees. Call to ask. | https://harperwoodscity.org/parks-and-recreation/
Wayne Youth and Family Services | City of Wayne | youth | Free help for kids ages 9 to 16 and their families: a learning lab with tutors, support groups, anger management, a girls group, and parent support. | 3850 2nd Street | Wayne | 48184 | 734-721-7004 | https://www.cityofwayne.com/ | Mon-Fri 9am-5pm | For kids ages 9 to 16 and their families. Call to set up a first meeting. | https://www.cityofwayne.com/188/Youth-Services | flags=youth,families
Westland Youth Assistance Program | City of Westland | youth | Help for kids ages 9 to 17 who are having trouble at home, at school, or with the law. Kids can get a volunteer mentor. Free for Westland residents, with a free translator if needed. | 36300 Warren Road | Westland | 48185 | 734-467-7904 | https://www.cityofwestland.com/ | Mon-Fri 9am-5pm | For kids ages 9 to 17 in Westland and nearby cities. Parents, schools, police, or courts can refer a child. | https://www.cityofwestland.com/253/Youth-Assistance-Program | flags=youth,families
Garden City Family Resource Center | City of Garden City | youth | After-school and summer programs for kids ages 7 to 17: homework help, art, sports, support groups, and case managers. Parents can get classes, counseling, and referrals. | 1751 Radcliff St. | Garden City | 48135 | 734-793-1860 | https://www.gardencitymi.org/196/Radcliff-Center | Call first | For families with kids ages 7 to 17 in western Wayne County. Space is limited. | https://www.gardencitymi.org/167/Family-Resource-Center | flags=youth,families

